Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/scratch/cpanse/PXD028735/dia/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_01.mzML	/scratch/cpanse/PXD028735/dia/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_01.mzML	/scratch/cpanse/PXD028735/dia/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_01.mzML	/scratch/cpanse/PXD028735/dia/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_01.mzML	/scratch/cpanse/PXD028735/dia/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_01.mzML	/scratch/cpanse/PXD028735/dia/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_01.mzML
P09038	P09038;A0A0A0MQV6	FGF2_HUMAN	FGF2				454483			142110
P09053	P09053	AVTA_ECOLI	avtA							
P09064	P09064	IF2B_YEAST	SUI3		8.63162e+06	4.28725e+06	8.52957e+06	3.52825e+06	4.61495e+06	9.15441e+06
P09099	P09099	XYLB_ECOLI	xylB							
P09104	P09104;F5H0C8;U3KQP4	ENOG_HUMAN	ENO2		2.24963e+06	2.27488e+06	2.52057e+06	1.73808e+06	2.51996e+06	2.23266e+06
P09105	P09105	HBAT_HUMAN	HBQ1		4.02479e+06	3.75776e+06	4.41467e+06	3.92176e+06	4.17903e+06	3.90399e+06
P09110	P09110;C9JDE9;H0Y4D4;H7C131	THIK_HUMAN	ACAA1		3.11645e+06	2.96119e+06	2.76056e+06	2.09791e+06	2.32184e+06	2.0823e+06
P09127	P09127	HEMX_ECOLI	hemX							
P09132	P09132;A0A087WYR0	SRP19_HUMAN	SRP19		628835	384301	752093	292728	811146	234493
P09147	P09147	GALE_ECOLI	galE			1.09495e+06		466185	994694	
P09148	P09148	GAL7_ECOLI	galT							
P09151	P09151	LEU1_ECOLI	leuA		812395					
P09155	P09155	RND_ECOLI	rnd							
P09158	P09158	SPEE_ECOLI	speE							
P09211	P09211	GSTP1_HUMAN	GSTP1		1.83969e+08	1.74037e+08	2.05585e+08	1.6416e+08	2.05636e+08	1.87967e+08
P09232	P09232	PRTB_YEAST	PRB1		1.62847e+07	7.96368e+06	1.74765e+07	8.4992e+06	8.04478e+06	1.83296e+07
P09234	P09234;A0A0A0MRR7	RU1C_HUMAN	SNRPC		4.28708e+06		7.55482e+06	929691	4.81825e+06	5.23296e+06
P09323	P09323	PTW3C_ECOLI	nagE							
P09368	P09368	PUT1_YEAST	PUT1							
P09372	P09372	GRPE_ECOLI	grpE		1.35026e+06	5.04075e+06	1.44157e+06	5.76552e+06	6.29054e+06	1.40523e+06
P09373	P09373	PFLB_ECOLI	pflB		3.42919e+06	1.89814e+07	4.14882e+06	1.7402e+07	1.92797e+07	4.82658e+06
P09373;P42632	P09373;P42632	PFLB_ECOLI;TDCE_ECOLI	pflB;tdcE		2.8619e+06	6.50476e+06	1.40381e+06	8.95686e+06	7.47294e+06	1.97284e+06
P09373;P68066	P09373;P68066	GRCA_ECOLI;PFLB_ECOLI	grcA;pflB			1.09577e+07		1.44837e+07	1.13551e+07	
P09382	P09382	LEG1_HUMAN	LGALS1		3.78843e+07	3.73898e+07	4.10653e+07	2.76573e+07	3.74684e+07	3.73774e+07
P09394	P09394	GLPQ_ECOLI	glpQ		1.90045e+06	8.51393e+06	1.81369e+06	8.76432e+06	9.27602e+06	2.2385e+06
P09417	P09417;B7Z415;D6RGG7;H0Y8F7	DHPR_HUMAN	QDPR		1.87617e+06	2.6214e+06	2.75958e+06	1.64958e+06	2.4003e+06	2.65096e+06
P09424	P09424	MTLD_ECOLI	mtlD			649226				
P09429	P09429;B2RPK0;Q5T7C4	HMGB1_HUMAN	HMGB1		4.64442e+07	4.38668e+07	5.16676e+07	4.87417e+07	4.56824e+07	4.4628e+07
P09435;P10591;P10592;P11142;P17066;P22202;P34931	P0DMV8;P0DMV9;P11142;P17066;P34931;P54652;A0A0G2JIW1;A8K7Q2;E9PKE3;E9PM13;E9PNE6;E9PS65;Q53FA3;V9GZ37;P10591;P10592;P09435;P22202	HS71L_HUMAN;HSP71_YEAST;HSP72_YEAST;HSP73_YEAST;HSP74_YEAST;HSP76_HUMAN;HSP7C_HUMAN	HSPA1L;HSPA6;HSPA8;SSA1;SSA2;SSA3;SSA4			3.24127e+08				
P09435;P10591;P10592;P17066;P22202	P0DMV8;P0DMV9;P17066;A0A0G2JIW1;V9GZ37;P10591;P10592;P09435;P22202	HSP71_YEAST;HSP72_YEAST;HSP73_YEAST;HSP74_YEAST;HSP76_HUMAN	HSPA6;SSA1;SSA2;SSA3;SSA4			1.64215e+08	3.56685e+08	1.83477e+08	1.74925e+08	3.95521e+08
P09435;P10591;P10592;P17066;P34931	P0DMV8;P0DMV9;P17066;P34931;P48741;A0A0G2JIW1;Q53FA3;V9GZ37;P10591;P10592;P09435	HS71L_HUMAN;HSP71_YEAST;HSP72_YEAST;HSP73_YEAST;HSP76_HUMAN	HSPA1L;HSPA6;SSA1;SSA2;SSA3		2.79079e+08	1.92277e+08	3.24206e+08	1.15147e+08	2.20827e+08	3.30006e+08
P09435;P11021;P11142;P22202;P34931	P0DMV8;P0DMV9;P11021;P11142;P34931;P54652;A0A7P0TAI0;A0A7P0TB36;A0A0G2JIW1;E9PI65;E9PK54;E9PKE3;E9PLF4;E9PN25;E9PNE6;E9PPY6;E9PQK7;E9PQQ4;Q53FA3;P09435;P22202	BIP_HUMAN;HS71L_HUMAN;HSP73_YEAST;HSP74_YEAST;HSP7C_HUMAN	HSPA1L;HSPA5;HSPA8;SSA3;SSA4		6.46919e+08	6.58533e+08	6.56863e+08	6.42595e+08	6.66438e+08	6.38238e+08
P09435;P11142;P17066;P22202;P34931	P0DMV8;P0DMV9;P11142;P17066;P34931;P54652;P48741;A0A0G2JIW1;E9PI65;E9PK54;E9PKE3;E9PLF4;E9PN25;E9PNE6;E9PPY6;E9PQK7;E9PQQ4;Q53FA3;P09435;P22202	HS71L_HUMAN;HSP73_YEAST;HSP74_YEAST;HSP76_HUMAN;HSP7C_HUMAN	HSPA1L;HSPA6;HSPA8;SSA3;SSA4		3.56645e+08	3.27467e+08	3.43057e+08	3.38194e+08	3.55659e+08	3.21229e+08
P09435;P17066;P22202	P0DMV8;P0DMV9;P17066;P48741;A0A0G2JIW1;V9GZ37;P09435;P22202	HSP73_YEAST;HSP74_YEAST;HSP76_HUMAN	HSPA6;SSA3;SSA4		1.15945e+08	1.09853e+08	9.99493e+07	1.35422e+08	9.79918e+07	1.07171e+08
P09435;P22202	P09435;P22202	HSP73_YEAST;HSP74_YEAST	SSA3;SSA4		1.71036e+06	777149	1.61419e+06	971196	921069	2.03427e+06
P09436	P09436	SYIC_YEAST	ILS1		2.01327e+07	1.01914e+07	2.10624e+07	9.56141e+06	1.02784e+07	2.17122e+07
P09436;P41252	P41252;A0A0A0MSX9;A0A804HHW9;A0A804HIG2;A0A804HIV9;A0A804HJ36;A0A804HJN6;A0A804HK69;A0A804HKU1;A0A804HL54;J3KR24;P09436	SYIC_HUMAN;SYIC_YEAST	IARS1;ILS1		2.25646e+06		4.22785e+06		2.14216e+06	3.72977e+06
P09440	P09440	C1TM_YEAST	MIS1		1.76139e+06	631306	1.88959e+06	507031	877668	2.13409e+06
P09440;Q6UB35	Q6UB35;B7ZM99;A0A087WVM4;P09440	C1TM_HUMAN;C1TM_YEAST	MIS1;MTHFD1L		2.76752e+06	2.35314e+06	2.75448e+06	2.12716e+06	2.69898e+06	3.18711e+06
P09457	P09457	ATPO_YEAST	ATP5		1.07677e+06	523337	1.06489e+06	265474	410569	1.35611e+06
P09493	P09493;A0A0S2Z4G6;A0A494C0V8;B7Z596;F5H7S3;H0YK48;H0YKJ4;H0YL42;H7BYY1;Q6ZN40;A0A494BZZ2;A0A994J554;H0YKX5;H0YL80	TPM1_HUMAN	TPM1		1.28653e+07	4.82031e+06	1.39713e+07	9.62366e+06	1.34064e+07	1.33855e+07
P09496	P09496;F8WF69	CLCA_HUMAN	CLTA		2.69885e+07	2.62224e+07	2.7519e+07	2.48025e+07	2.55471e+07	2.73144e+07
P09497	P09497;H0Y9Q6	CLCB_HUMAN	CLTB		6.66485e+06	6.46834e+06	7.82355e+06	6.35857e+06	6.6557e+06	6.61438e+06
P09525	P09525;Q6P452	ANXA4_HUMAN	ANXA4		486235	628546	882986		670972	463216
P09543	P09543	CN37_HUMAN	CNP		2.89811e+06	3.03329e+06	3.07068e+06	2.44048e+06	3.00077e+06	2.87076e+06
P09546	P09546	PUTA_ECOLI	putA			687888		493744	689499	
P09547	P09547	SWI1_YEAST	SWI1							202380
P09549	P09549	DEDD_ECOLI	dedD							
P09551	P09551	ARGT_ECOLI	argT		1.9145e+06	7.96642e+06	1.87091e+06	7.91251e+06	8.27101e+06	2.2285e+06
P09620	P09620	KEX1_YEAST	KEX1		621296		712936		256155	665090
P09622	P09622;E9PEX6	DLDH_HUMAN	DLD		1.90424e+07	1.8219e+07	1.88819e+07	1.73337e+07	1.84731e+07	1.84064e+07
P09622;P09624	P09622;E9PEX6;P09624	DLDH_HUMAN;DLDH_YEAST	DLD;LPD1		3.10623e+07	2.61389e+07	2.96853e+07	3.11405e+07	2.67272e+07	2.94814e+07
P09624	P09624	DLDH_YEAST	LPD1		1.08679e+07	5.92161e+06	1.13198e+07	5.07274e+06	5.47424e+06	1.18331e+07
P09651	P09651;A0A2R8Y4L2;A0A7I2V3R8;F8W6I7;A0A7I2YQX9;A0A7I2YQY2;H0YH80	ROA1_HUMAN	HNRNPA1		8.02394e+07	8.68411e+07	1.13565e+08	1.30253e+07	1.20922e+08	8.86879e+07
P09661	P09661;H0YKK0	RU2A_HUMAN	SNRPA1		2.30109e+07	2.16579e+07	2.16996e+07	2.30418e+07	2.21784e+07	2.19858e+07
P09668	P09668;A0A087X0D5;E9PKT6;A0A7I2V2L7;A0A7I2V3E8;A0A7I2V4X5;A0A7I2V673;A0A7I2YQ92;A0A7I2YQX6	CATH_HUMAN	CTSH			832838	789861	1.23864e+06	1.49679e+06	
P09669	P09669	COX6C_HUMAN	COX6C		1.37011e+07	1.41048e+07	1.32442e+07	1.39479e+07	1.30809e+07	1.36155e+07
P09733	P09733	TBA1_YEAST	TUB1		7.37027e+06	3.50901e+06	6.62832e+06	3.49997e+06	3.34997e+06	7.59328e+06
P09733;P09734	P09733;P09734	TBA1_YEAST;TBA3_YEAST	TUB1;TUB3		2.14097e+07	6.97899e+06	2.07239e+07	5.61694e+06	8.46256e+06	1.85016e+07
P09734	P09734	TBA3_YEAST	TUB3		4.16639e+06	2.1896e+06	4.10972e+06	1.80218e+06	1.95396e+06	4.88165e+06
P09798	P09798	CDC16_YEAST	CDC16							
P09831	P09831	GLTB_ECOLI	gltB			1.58718e+06		1.55701e+06	1.66334e+06	
P09832	P09832	GLTD_ECOLI	gltD			392718			347615	
P09874	P09874;A0A7I2V3E1	PARP1_HUMAN	PARP1		2.4988e+07	2.47494e+07	2.59975e+07	2.38949e+07	2.49115e+07	2.47238e+07
P09880	P09880	TRNL_YEAST	TRL1		854002		418619			796244
P09884	P09884;A6NMQ1;A0A7I2V2V3	DPOLA_HUMAN	POLA1		1.53991e+06	1.7058e+06	1.64035e+06	1.58116e+06	1.7996e+06	1.80461e+06
P09938	P09938	RIR2_YEAST	RNR2		2.72178e+07	1.30886e+07	2.73298e+07	1.44896e+07	1.34709e+07	2.8214e+07
P09950	P09950	HEM1_YEAST	HEM1							1.08287e+06
P09959	P09959	SWI6_YEAST	SWI6		606258	448024	755206		385405	783238
P09960	P09960	LKHA4_HUMAN	LTA4H		2.81908e+06	3.37458e+06	3.55517e+06	2.32169e+06	3.3077e+06	3.56907e+06
P09972	P09972;A8MVZ9	ALDOC_HUMAN	ALDOC		2.90578e+07	3.19856e+07	3.11859e+07	2.85552e+07	3.10174e+07	3.13874e+07
P0A698	P0A698	UVRA_ECOLI	uvrA						80854.4	
P0A6A3	P0A6A3	ACKA_ECOLI	ackA		405850	1.33737e+06		780512	1.3461e+06	223955
P0A6A6	P0A6A6	LEUC_ECOLI	leuC					1.06435e+06	1.91224e+06	
P0A6A8	P0A6A8	ACP_ECOLI	acpP		2.17539e+07	9.4111e+07	2.09078e+07	1.08174e+08	9.45816e+07	2.35959e+07
P0A6B4	P0A6B4	ALR1_ECOLI	alr							
P0A6B7	P0A6B7	ISCS_ECOLI	iscS		1.13378e+06	6.26355e+06	1.49312e+06	6.22726e+06	6.57076e+06	1.74367e+06
P0A6C1	P0A6C1	END4_ECOLI	nfo							
P0A6D0	P0A6D0	ARGR_ECOLI	argR						150464	
P0A6D3	P0A6D3	AROA_ECOLI	aroA							
P0A6D5	P0A6D5	YDIB_ECOLI	ydiB							117952
P0A6D7	P0A6D7	AROK_ECOLI	aroK							
P0A6E1	P0A6E1	AROL_ECOLI	aroL							
P0A6E4	P0A6E4	ASSY_ECOLI	argG					1.58801e+06		
P0A6E6	P0A6E6	ATPE_ECOLI	atpC							
P0A6F1	P0A6F1	CARA_ECOLI	carA			1.73065e+06		1.55823e+06	1.70926e+06	
P0A6F3	P0A6F3	GLPK_ECOLI	glpK		1.10097e+07	4.66317e+07	1.22123e+07	4.19876e+07	5.10703e+07	1.22254e+07
P0A6F5	P0A6F5	CH60_ECOLI	groEL		5.73114e+06	2.62185e+07	6.1312e+06	2.52366e+07	2.74098e+07	6.4485e+06
P0A6F9	P0A6F9	CH10_ECOLI	groES		5.7747e+06	2.07822e+07	5.63888e+06	2.38131e+07	2.34341e+07	5.46256e+06
P0A6G3	P0A6G3	PNCC_ECOLI	pncC							
P0A6G7	P0A6G7	CLPP_ECOLI	clpP			798430		1.38875e+06	1.13168e+06	825926
P0A6H1	P0A6H1	CLPX_ECOLI	clpX		3.33007e+06	3.27506e+06	2.83931e+06	2.85566e+06	2.94313e+06	3.27129e+06
P0A6H5	P0A6H5	HSLU_ECOLI	hslU			1.48947e+06		1.76561e+06	1.83055e+06	
P0A6I0	P0A6I0	KCY_ECOLI	cmk			674160		657538	1.04254e+06	
P0A6I3	P0A6I3	COAA_ECOLI	coaA							
P0A6I6	P0A6I6	COAD_ECOLI	coaD							
P0A6I9	P0A6I9	COAE_ECOLI	coaE							
P0A6J5	P0A6J5	DADA_ECOLI	dadA			164718				
P0A6J8	P0A6J8	DDLA_ECOLI	ddlA			788995		1.12318e+06	1.38438e+06	
P0A6K3	P0A6K3	DEF_ECOLI	def			500780		441216	454355	
P0A6K6	P0A6K6	DEOB_ECOLI	deoB		826068	3.85366e+06	899099	4.12405e+06	4.43196e+06	939283
P0A6L0	P0A6L0	DEOC_ECOLI	deoC			1.05808e+06		852503	940908	
P0A6L2	P0A6L2	DAPA_ECOLI	dapA		268926	2.47124e+06	459187	2.28083e+06	2.48945e+06	522993
P0A6L4	P0A6L4	NANA_ECOLI	nanA							
P0A6L7	P0A6L7	UXAB_ECOLI	uxaB							
P0A6L9	P0A6L9	HSCB_ECOLI	hscB			476453				
P0A6M4	P0A6M4	DTD_ECOLI	dtd							
P0A6M8	P0A6M8	EFG_ECOLI	fusA		6.52402e+06	2.78631e+07	6.85421e+06	2.79184e+07	3.00871e+07	6.8775e+06
P0A6N4	P0A6N4	EFP_ECOLI	efp		1.32734e+06	5.04024e+06	1.28289e+06	5.52165e+06	5.41927e+06	883347
P0A6N8	P0A6N8	EFPL_ECOLI	yeiP						2.78583e+06	
P0A6P1	P0A6P1	EFTS_ECOLI	tsf		5.57852e+06	2.24547e+07	5.51347e+06	2.34163e+07	2.26638e+07	5.85068e+06
P0A6P5	P0A6P5	DER_ECOLI	der			434061		697344	220940	
P0A6P7	P0A6P7	ENGB_ECOLI	engB			293103				
P0A6P9	P0A6P9	ENO_ECOLI	eno		5.88026e+06	2.58545e+07	5.94026e+06	2.78533e+07	2.68036e+07	6.74545e+06
P0A6Q3	P0A6Q3	FABA_ECOLI	fabA		1.83004e+06	8.95354e+06	1.11965e+06	6.48275e+06	7.4703e+06	
P0A6R0	P0A6R0	FABH_ECOLI	fabH			1.76159e+06			1.44216e+06	
P0A6S0	P0A6S0	FLGH_ECOLI	flgH							
P0A6S7	P0A6S7	GPDA_ECOLI	gpsA			565742				
P0A6T1	P0A6T1	G6PI_ECOLI	pgi		695552	2.40718e+06	638622	2.37626e+06	2.8456e+06	624960
P0A6T3	P0A6T3	GAL1_ECOLI	galK			332443				
P0A6T5	P0A6T5	GCH1_ECOLI	folE							
P0A6U3	P0A6U3	MNMG_ECOLI	mnmG							
P0A6U5	P0A6U5	RSMG_ECOLI	rsmG							
P0A6U8	P0A6U8	GLGA_ECOLI	glgA						239332	
P0A6V1	P0A6V1	GLGC_ECOLI	glgC			1.4309e+06		1.17691e+06	1.7e+06	
P0A6V5	P0A6V5	GLPE_ECOLI	glpE							
P0A6V8	P0A6V8	GLK_ECOLI	glk			971349			977288	
P0A6W5	P0A6W5	GREA_ECOLI	greA			2.29802e+06		1.85446e+06	1.97393e+06	
P0A6W9	P0A6W9	GSH1_ECOLI	gshA			618422		331237	608079	
P0A6W9;P42949	P0A6W9;P42949	GSH1_ECOLI;TIM16_YEAST	PAM16;gshA							
P0A6X3	P0A6X3	HFQ_ECOLI	hfq			365108				
P0A6X7	P0A6X7	IHFA_ECOLI	ihfA		2.8132e+06	1.25897e+07	2.78462e+06	1.2668e+07	1.27815e+07	2.18064e+06
P0A6Y1	P0A6Y1	IHFB_ECOLI	ihfB		112606	1.31092e+06	219127	1.00041e+06	1.10274e+06	267058
P0A6Y5	P0A6Y5	HSLO_ECOLI	hslO		232616	1.70169e+06		844978	1.90982e+06	
P0A6Y8	P0A6Y8	DNAK_ECOLI	dnaK		2.11931e+08	8.35056e+08	2.2464e+08	7.44541e+08	8.79665e+08	2.46236e+08
P0A6Z1	P0A6Z1	HSCA_ECOLI	hscA		56144.4	697215		843667	856640	
P0A6Z3	P0A6Z3	HTPG_ECOLI	htpG		944522	3.86041e+06	1.0803e+06	3.89188e+06	4.22272e+06	997394
P0A705	P0A705	IF2_ECOLI	infB		756342	4.15172e+06		4.67298e+06	4.21191e+06	1.27314e+06
P0A707	P0A707	IF3_ECOLI	infC		1.06773e+06	5.02974e+06	856590	5.26385e+06	5.17351e+06	978960
P0A715	P0A715	KDSA_ECOLI	kdsA							
P0A717	P0A717	KPRS_ECOLI	prs			430147		338662	402660	
P0A720	P0A720	KTHY_ECOLI	tmk							
P0A722	P0A722	LPXA_ECOLI	lpxA			136543			101959	
P0A729	P0A729	NTPPB_ECOLI	yceF							
P0A731	P0A731	MGSA_ECOLI	mgsA						120912	
P0A734	P0A734	MINE_ECOLI	minE			539943		454569	297460	
P0A738	P0A738	MOAC_ECOLI	moaC							
P0A742	P0A742	MSCL_ECOLI	mscL							
P0A744	P0A744	MSRA_ECOLI	msrA		502624	2.01351e+06	508339	1.89632e+06	2.35045e+06	480009
P0A746	P0A746	MSRB_ECOLI	msrB							
P0A749	P0A749	MURA_ECOLI	murA							
P0A752	P0A752	NADD_ECOLI	nadD							
P0A759	P0A759	NAGB_ECOLI	nagB			3.89643e+06		3.74382e+06	3.99458e+06	
P0A761	P0A761	NANE_ECOLI	nanE			698818		635648	452119	
P0A763	P0A763	NDK_ECOLI	ndk		8.82039e+06	4.10236e+07	9.15993e+06	3.95968e+07	4.49056e+07	1.02303e+07
P0A776	P0A776	RPPH_ECOLI	rppH							
P0A780	P0A780	NUSB_ECOLI	nusB			822050		810832	612990	
P0A784	P0A784	ORN_ECOLI	orn			386556			195887	
P0A786	P0A786	PYRB_ECOLI	pyrB		843402	4.69846e+06	1.10979e+06	4.67584e+06	4.27999e+06	1.14619e+06
P0A794	P0A794	PDXJ_ECOLI	pdxJ			719783		857287	940956	
P0A796	P0A796	PFKA_ECOLI	pfkA			2.38167e+06	853167	1.53656e+06	2.41878e+06	722932
P0A799	P0A799	PGK_ECOLI	pgk		4.80785e+06	2.03439e+07	4.80681e+06	1.9677e+07	2.07157e+07	5.16654e+06
P0A7A2	P0A7A2	GPMB_ECOLI	gpmB							
P0A7A9	P0A7A9	IPYR_ECOLI	ppa		1.4861e+06	1.09126e+07	2.04129e+06	9.84835e+06	1.11722e+07	2.88002e+06
P0A7B1	P0A7B1	PPK1_ECOLI	ppk			274707			314417	
P0A7B3	P0A7B3	NADK_ECOLI	nadK							
P0A7B5	P0A7B5	PROB_ECOLI	proB							
P0A7B8	P0A7B8	HSLV_ECOLI	hslV			2.53155e+06		2.22744e+06	2.73913e+06	
P0A7C2	P0A7C2	LEXA_ECOLI	lexA							
P0A7C6	P0A7C6	PEPE_ECOLI	pepE			1.27888e+06		1.21482e+06	1.06396e+06	
P0A7D1	P0A7D1	PTH_ECOLI	pth							
P0A7D4	P0A7D4	PURA_ECOLI	purA		4.11244e+06	1.72974e+07	4.11984e+06	1.70214e+07	1.82739e+07	4.23331e+06
P0A7D7	P0A7D7	PUR7_ECOLI	purC		1.58317e+06	6.26972e+06	1.52803e+06	4.18489e+06	6.28363e+06	1.50378e+06
P0A7E3	P0A7E3	PYRE_ECOLI	pyrE							287380
P0A7E5	P0A7E5	PYRG_ECOLI	pyrG			2.07235e+06	322554	1.6212e+06	2.40886e+06	443502
P0A7E9	P0A7E9	PYRH_ECOLI	pyrH							
P0A7F3	P0A7F3	PYRI_ECOLI	pyrI			3.64007e+06	462333	3.01517e+06	3.42333e+06	1.06746e+06
P0A7F6	P0A7F6	SPED_ECOLI	speD							
P0A7F9	P0A7F9	QUEA_ECOLI	queA							
P0A7G2	P0A7G2	RBFA_ECOLI	rbfA					361354		
P0A7G6	P0A7G6	RECA_ECOLI	recA							
P0A7I0	P0A7I0	RF1_ECOLI	prfA							
P0A7I4	P0A7I4	RF3_ECOLI	prfC			496989			213058	
P0A7I7	P0A7I7	RIBA_ECOLI	ribA						158908	
P0A7J3	P0A7J3	RL10_ECOLI	rplJ		1.085e+07	3.63091e+07	1.01149e+07	4.04398e+07	3.99536e+07	9.31794e+06
P0A7J7	P0A7J7	RL11_ECOLI	rplK		4.98737e+06	1.84751e+07	4.38046e+06	2.2615e+07	1.93406e+07	5.03189e+06
P0A7K2	P0A7K2	RL7_ECOLI	rplL		1.93591e+07	7.2362e+07	1.80305e+07	8.60642e+07	7.68925e+07	1.87783e+07
P0A7K6	P0A7K6	RL19_ECOLI	rplS		708213	4.30838e+06	701483	3.96266e+06	4.89005e+06	1.16605e+06
P0A7L0	P0A7L0	RL1_ECOLI	rplA		5.25217e+06	1.90354e+07	5.10723e+06	2.37504e+07	2.15904e+07	5.59406e+06
P0A7L3	P0A7L3	RL20_ECOLI	rplT		911002	4.88901e+06	977413	5.47912e+06	4.44162e+06	1.08948e+06
P0A7L8	P0A7L8	RL27_ECOLI	rpmA			650688		781998	606822	
P0A7M2	P0A7M2	RL28_ECOLI	rpmB			3.08353e+06	627400	3.24571e+06	2.76631e+06	835351
P0A7M6	P0A7M6	RL29_ECOLI	rpmC			384770			457467	
P0A7N9	P0A7N9	RL33_ECOLI	rpmG			357593			452717	
P0A7R1	P0A7R1	RL9_ECOLI	rplI		6.48616e+06	2.41104e+07	6.16993e+06	2.84253e+07	2.61925e+07	6.27892e+06
P0A7R5	P0A7R5	RS10_ECOLI	rpsJ		2.5297e+06	1.00231e+07	2.40922e+06	1.1705e+07	1.0357e+07	2.16267e+06
P0A7R9	P0A7R9	RS11_ECOLI	rpsK		1.29232e+06	5.7312e+06	1.06107e+06	6.82761e+06	6.02258e+06	1.32052e+06
P0A7S9	P0A7S9	RS13_ECOLI	rpsM		2.98165e+06	1.30519e+07	2.97092e+06	1.39912e+07	1.36928e+07	3.31272e+06
P0A7T3	P0A7T3	RS16_ECOLI	rpsP		5.27857e+06	1.51966e+07	3.59027e+06	1.41178e+07	1.48248e+07	4.12217e+06
P0A7T7	P0A7T7	RS18_ECOLI	rpsR		2.54376e+06	1.16444e+07	2.40963e+06	1.14614e+07	1.23389e+07	3.03422e+06
P0A7U3	P0A7U3	RS19_ECOLI	rpsS			1.6202e+06		1.82175e+06	1.56498e+06	202531
P0A7U3;P53733	P0A7U3;P53733	RS19_ECOLI;RT19_YEAST	RSM19;rpsS			1.45969e+07	3.82236e+06	1.86727e+07	1.47211e+07	4.36067e+06
P0A7U7	P0A7U7	RS20_ECOLI	rpsT		983488	4.3039e+06	1.0099e+06	3.76289e+06	4.31399e+06	1.16123e+06
P0A7V0	P0A7V0	RS2_ECOLI	rpsB		1.7439e+06	9.59967e+06	2.22531e+06	7.54788e+06	9.56746e+06	2.69986e+06
P0A7V3	P0A7V3	RS3_ECOLI	rpsC		3.98685e+06	1.87914e+07	4.87728e+06	1.94027e+07	2.0931e+07	5.0657e+06
P0A7V8	P0A7V8	RS4_ECOLI	rpsD		3.26061e+06	1.57582e+07	3.37663e+06	1.57748e+07	1.53723e+07	4.14924e+06
P0A7W1	P0A7W1	RS5_ECOLI	rpsE		1.19846e+06	7.05647e+06	1.65475e+06	7.75058e+06	6.91331e+06	1.68952e+06
P0A7W7	P0A7W7	RS8_ECOLI	rpsH		3.79237e+06	1.44625e+07	3.23772e+06	1.66639e+07	1.53385e+07	3.86825e+06
P0A7X3	P0A7X3	RS9_ECOLI	rpsI		3.89153e+06	1.72415e+07	4.46082e+06	1.6333e+07	1.80442e+07	5.28484e+06
P0A7X6	P0A7X6	RIMM_ECOLI	rimM			996779		728888	934729	
P0A7Y0	P0A7Y0	RNC_ECOLI	rnc							
P0A7Z0	P0A7Z0	RPIA_ECOLI	rpiA		359560	2.31363e+06	533783	1.97668e+06	2.7991e+06	522432
P0A7Z4	P0A7Z4	RPOA_ECOLI	rpoA		2.9312e+06	1.12528e+07	2.60815e+06	1.25181e+07	1.17257e+07	3.054e+06
P0A800	P0A800	RPOZ_ECOLI	rpoZ			2.17904e+06		1.90588e+06	2.70275e+06	
P0A805	P0A805	RRF_ECOLI	frr		2.64885e+06	1.00782e+07	2.5919e+06	9.45251e+06	9.81784e+06	2.34468e+06
P0A809	P0A809	RUVA_ECOLI	ruvA							
P0A817	P0A817	METK_ECOLI	metK							
P0A821	P0A821	SELA_ECOLI	selA							
P0A825	P0A825	GLYA_ECOLI	glyA		5.6336e+06	2.37647e+07	5.98544e+06	2.28742e+07	2.5264e+07	6.31723e+06
P0A830	P0A830	DCTA_ECOLI	dctA							
P0A832	P0A832	SSRP_ECOLI	smpB			858413				
P0A836	P0A836	SUCC_ECOLI	sucC		2.94793e+06	1.21176e+07	2.80923e+06	1.24813e+07	1.29531e+07	3.19391e+06
P0A840	P0A840	SURE_ECOLI	surE							
P0A847	P0A847	TGT_ECOLI	tgt							
P0A850	P0A850	TIG_ECOLI	tig		5.49056e+06	2.17929e+07	5.28752e+06	2.33607e+07	2.34661e+07	5.95839e+06
P0A853	P0A853	TNAA_ECOLI	tnaA		4.54566e+07	1.88728e+08	4.48154e+07	2.12986e+08	1.98161e+08	4.82984e+07
P0A855	P0A855	TOLB_ECOLI	tolB			803803		761029	857766	
P0A858	P0A858	TPIS_ECOLI	tpiA		389309	2.42765e+06	418622	2.61163e+06	2.58392e+06	531459
P0A862	P0A862	TPX_ECOLI	tpx		5.70818e+06	2.50899e+07	5.3921e+06	2.30129e+07	2.47172e+07	6.85781e+06
P0A867	P0A867	TALA_ECOLI	talA			5.30523e+06	1.07784e+06	4.88656e+06	5.77419e+06	959641
P0A867;P15019;P37837;P53228	P0A867;P37837;F2Z393;P15019;P53228	TAL1_YEAST;TAL2_YEAST;TALA_ECOLI;TALDO_HUMAN	NQM1;TAL1;TALDO1;talA		1.97442e+06		392527	3.63469e+06	601260	
P0A870	P0A870	TALB_ECOLI	talB		4.14307e+06	1.65344e+07	4.20344e+06	1.54355e+07	1.75722e+07	4.43524e+06
P0A873	P0A873	TRMD_ECOLI	trmD							
P0A877	P0A877	TRPA_ECOLI	trpA			407943			239079	
